equinoxes
21-Mar-1950 04:35:00
21-Mar-1951 10:25:00
20-Mar-1952 16:13:00
20-Mar-1953 22:00:00
21-Mar-1954 03:53:00
21-Mar-1955 09:35:00
20-Mar-1956 15:20:00
20-Mar-1957 21:16:00
21-Mar-1958 03:05:00
21-Mar-1959 08:54:00
20-Mar-1960 14:42:00
20-Mar-1961 20:31:00
21-Mar-1962 02:29:00
21-Mar-1963 08:19:00
20-Mar-1964 14:09:00
20-Mar-1965 20:04:00
21-Mar-1966 01:52:00
21-Mar-1967 07:36:00
20-Mar-1968 13:21:00
20-Mar-1969 19:08:00
21-Mar-1970 00:56:00
21-Mar-1971 06:38:00
20-Mar-1972 12:21:00
20-Mar-1973 18:12:00
21-Mar-1974 00:06:00
21-Mar-1975 05:56:00
20-Mar-1976 11:49:00
20-Mar-1977 17:42:00
20-Mar-1978 23:33:00
21-Mar-1979 05:22:00
20-Mar-1980 11:09:00
20-Mar-1981 17:02:00
20-Mar-1982 22:55:00
21-Mar-1983 04:38:00
20-Mar-1984 10:24:00
20-Mar-1985 16:13:00
20-Mar-1986 22:02:00
21-Mar-1987 03:51:00
20-Mar-1988 09:38:00
20-Mar-1989 15:28:00
20-Mar-1990 21:19:00
21-Mar-1991 03:01:00
20-Mar-1992 08:47:00
20-Mar-1993 14:40:00
20-Mar-1994 20:27:00
21-Mar-1995 02:14:00
20-Mar-1996 08:03:00
20-Mar-1997 13:54:00
20-Mar-1998 19:54:00
21-Mar-1999 01:45:00
20-Mar-2000 07:35:00
20-Mar-2001 13:30:00
20-Mar-2002 19:16:00
21-Mar-2003 00:59:00
20-Mar-2004 06:48:00
20-Mar-2005 12:33:00
20-Mar-2006 18:25:00
21-Mar-2007 00:07:00
20-Mar-2008 05:48:00
20-Mar-2009 11:43:00
20-Mar-2010 17:32:00
20-Mar-2011 23:20:00
20-Mar-2012 05:14:00
20-Mar-2013 11:01:00
20-Mar-2014 16:57:00
20-Mar-2015 22:45:00
20-Mar-2016 04:30:00
20-Mar-2017 10:28:00
20-Mar-2018 16:15:00
20-Mar-2019 21:58:00
20-Mar-2020 03:49:00
20-Mar-2021 09:37:00
20-Mar-2022 15:33:00
20-Mar-2023 21:24:00
20-Mar-2024 03:06:00
20-Mar-2025 09:01:00
20-Mar-2026 14:45:00
20-Mar-2027 20:24:00
20-Mar-2028 02:17:00
20-Mar-2029 08:02:00
20-Mar-2030 13:51:00
20-Mar-2031 19:41:00
20-Mar-2032 01:21:00
20-Mar-2033 07:22:00
20-Mar-2034 13:17:00
20-Mar-2035 19:02:00
20-Mar-2036 01:02:00
20-Mar-2037 06:50:00
20-Mar-2038 12:40:00
20-Mar-2039 18:31:00
20-Mar-2040 00:11:00
20-Mar-2041 06:06:00
20-Mar-2042 11:53:00
20-Mar-2043 17:27:00
19-Mar-2044 23:20:00
20-Mar-2045 05:07:00
20-Mar-2046 10:57:00
20-Mar-2047 16:52:00
19-Mar-2048 22:33:00
20-Mar-2049 04:28:00
